race_id,date,baba_code,baba_name,race_no,title,surface,distance,weather,going
20260403-19-01,2026-04-03,19,船橋,1,３歳十,ダート,1200,晴,重
20260403-19-02,2026-04-03,19,船橋,2,３歳九,ダート,1200,晴,重
20260403-19-03,2026-04-03,19,船橋,3,Ｃ３一 二,ダート,1500,晴,稍重
20260403-19-04,2026-04-03,19,船橋,4,Ｃ３一 二,ダート,1200,晴,稍重
20260403-19-05,2026-04-03,19,船橋,5,Ｃ２六 七 八ウ,ダート,1200,晴,稍重
20260403-19-06,2026-04-03,19,船橋,6,ダンデライオン賞Ｃ１一,ダート,1600,晴,稍重
20260403-19-07,2026-04-03,19,船橋,7,ダイヤモンドスプリントＡ２以下選抜馬,ダート,1200,晴,稍重
20260403-19-08,2026-04-03,19,船橋,8,Ｃ２六 七 八ア,ダート,1500,晴,稍重
20260403-19-09,2026-04-03,19,船橋,9,馬い！野菜たがやす倶楽部Ｃ２六 七 八イ,ダート,1200,晴,稍重
20260403-19-10,2026-04-03,19,船橋,10,鳥待月スプリントＢ２選抜馬,ダート,1200,晴,稍重
20260403-19-11,2026-04-03,19,船橋,11,春和景明特別Ｂ１二Ｂ２一,ダート,1600,晴,稍重
20260403-19-12,2026-04-03,19,船橋,12,ラナンキュラス特別Ｃ２選抜馬,ダート,1800,晴,稍重
20260403-22-01,2026-04-03,22,金沢,1,こざくら１周年記念Ｃ１十一,ダート,1400,晴,不良
20260403-22-02,2026-04-03,22,金沢,2,Ｃ１十,ダート,1400,晴,不良
20260403-22-03,2026-04-03,22,金沢,3,Ｃ１九,ダート,1400,晴,不良
20260403-22-04,2026-04-03,22,金沢,4,めでたすぎて祝！宮澤佑さん生誕杯２０２６Ｃ１八,ダート,1400,晴,不良
20260403-22-05,2026-04-03,22,金沢,5,３歳Ｂ５,ダート,1500,晴,不良
20260403-22-06,2026-04-03,22,金沢,6,３歳Ｂ４,ダート,1500,晴,不良
20260403-22-07,2026-04-03,22,金沢,7,しゅう＆ゆうなのウェディング杯３歳Ｂ３,ダート,1400,晴,不良
20260403-22-08,2026-04-03,22,金沢,8,３歳Ｂ２,ダート,1400,晴,不良
20260403-22-09,2026-04-03,22,金沢,9,能登復興支援　九十九湾特別３歳Ｂ１,ダート,1500,晴,不良
20260403-22-10,2026-04-03,22,金沢,10,馬券を買うならＳＰＡＴ４！特別Ｃ１一,ダート,900,晴,不良
20260403-22-11,2026-04-03,22,金沢,11,お家でネット投票！楽天競馬特別Ａ２ｂ,ダート,1400,晴,不良
20260403-22-12,2026-04-03,22,金沢,12,湖南賞Ｂ１級,ダート,1700,晴,不良
20260403-23-01,2026-04-03,23,笠松,1,３歳未勝利３歳５,ダート,800,晴,良
20260403-23-02,2026-04-03,23,笠松,2,３歳４組,ダート,1400,晴,良
20260403-23-03,2026-04-03,23,笠松,3,Ｃ１０組,ダート,1400,晴,良
20260403-23-04,2026-04-03,23,笠松,4,Ｃ９組,ダート,1580,晴,良
20260403-23-05,2026-04-03,23,笠松,5,Ｃ８組,ダート,1400,晴,良
20260403-23-06,2026-04-03,23,笠松,6,Ｃ７組,ダート,1400,晴,良
20260403-23-07,2026-04-03,23,笠松,7,Ｃ６組,ダート,1580,晴,良
20260403-23-08,2026-04-03,23,笠松,8,Ｃ５組,ダート,1400,晴,良
20260403-23-09,2026-04-03,23,笠松,9,Ｃ４組,ダート,1400,晴,良
20260403-23-10,2026-04-03,23,笠松,10,百十郎桜特別Ａ３,ダート,1400,晴,良
20260403-23-11,2026-04-03,23,笠松,11,美濃オープンＡ１特別,ダート,1400,晴,良
20260403-23-12,2026-04-03,23,笠松,12,奈良津桜特別Ａ２,ダート,1580,晴,良
