rank,rank_raw,waku,horse_no,horse_name,horse_id,affiliation,sex_age,weight_carried,jockey,trainer,body_weight,body_weight_diff,time,margin,last3f,popularity,win_odds,race_id
1.0,1.0,6,6,バエル,30004401086,岩手,牝5,54.0,小林凌,飯田弘,479.0,3.0,1:29.9,,39.1,4.0,10.3,20260407-11-01
2.0,2.0,2,2,ネオステラス,30082400986,岩手,牡5,56.0,村上忍,菅原勲,464.0,0.0,1:30.3,2.1/2,39.0,2.0,3.2,20260407-11-01
3.0,3.0,1,1,タギマサダス,30048402996,岩手,セン4,56.0,鈴木祐,工藤裕,402.0,4.0,1:30.8,3,38.6,7.0,32.8,20260407-11-01
4.0,4.0,5,5,キタノパッション,30024406176,岩手,牝6,54.0,塚本涼,佐々由,428.0,-1.0,1:30.8,クビ,40.0,1.0,1.9,20260407-11-01
5.0,5.0,8,8,フラワーカンパニー,30086404786,岩手,牝5,54.0,山本政,永田幸,408.0,1.0,1:31.0,3/4,39.1,5.0,10.7,20260407-11-01
6.0,6.0,7,7,キャビネットバトル,30063404776,岩手,牡6,56.0,菅原辰,西野直,460.0,-2.0,1:31.0,クビ,39.8,8.0,60.2,20260407-11-01
7.0,7.0,4,4,ワイドマルガリータ,30006401886,岩手,牝5,52.0,◇関本玲,吉田司,462.0,4.0,1:31.1,クビ,38.7,6.0,17.5,20260407-11-01
8.0,8.0,3,3,プリズムスペクトル,30039405086,岩手,牝5,54.0,岩本怜,千葉幸,438.0,4.0,1:32.4,8,40.6,3.0,7.5,20260407-11-01
1.0,1.0,1,1,ライジンシチー,30089405096,岩手,牡4,56.0,高橋悠,板垣吉,494.0,-4.0,1:31.2,,38.4,2.0,4.2,20260407-11-02
2.0,2.0,8,9,エスカペード,30095408066,岩手,牝7,52.0,△坂井瑛,小林俊,461.0,-7.0,1:31.3,1/2,39.9,4.0,15.2,20260407-11-02
3.0,3.0,8,8,リベリアンガール,30088403086,岩手,牝5,54.0,阿部英,及川良,432.0,-5.0,1:31.3,クビ,39.5,1.0,1.6,20260407-11-02
4.0,4.0,4,4,ジーティーポライト,30096405786,岩手,牝5,50.0,★齋藤友,齋藤雄,461.0,-4.0,1:31.5,3/4,39.5,7.0,64.3,20260407-11-02
5.0,5.0,6,6,グランクリュ,30083409296,岩手,牝4,54.0,菅原辰,菅原右,431.0,-5.0,1:31.6,3/4,40.3,6.0,17.1,20260407-11-02
6.0,6.0,7,7,ドルチェヴィータ,30025408856,岩手,牝8,54.0,岩本怜,工藤裕,445.0,-4.0,1:31.8,1.1/4,40.3,5.0,16.0,20260407-11-02
7.0,7.0,3,3,キタノアルテミス,30022400996,岩手,牝4,54.0,鈴木祐,佐々由,452.0,-5.0,1:31.9,クビ,40.3,3.0,4.8,20260407-11-02
8.0,8.0,2,2,ウインドアベニュー,30097408666,岩手,牡7,56.0,南郷家,橘友和,452.0,4.0,1:32.3,2.1/2,40.0,9.0,193.1,20260407-11-02
9.0,9.0,5,5,ポンドレイディ,30014405886,岩手,牝5,54.0,佐々志,菅原右,422.0,-4.0,1:33.1,5,41.9,8.0,93.7,20260407-11-02
1.0,1.0,8,10,スパーク,30002404896,岩手,牡4,56.0,小林凌,橘友和,504.0,1.0,1:28.8,,38.5,3.0,10.7,20260407-11-03
2.0,2.0,3,3,ビリオネアボーイ,40061409996,岩手,牡4,56.0,高橋悠,板垣吉,486.0,-21.0,1:28.8,アタマ,38.3,1.0,1.3,20260407-11-03
3.0,3.0,7,7,テンリッチスマイル,30086405696,岩手,牝4,54.0,高松亮,佐藤雅,493.0,-7.0,1:30.0,7,39.5,2.0,5.2,20260407-11-03
4.0,4.0,7,8,ビーナスライズ,30014407286,岩手,牝5,54.0,岩本怜,三野通,483.0,2.0,1:30.3,2,40.0,4.0,13.0,20260407-11-03
5.0,5.0,6,6,テーオーカバリエ,30037409196,岩手,牝4,54.0,阿部英,及川良,434.0,-2.0,1:30.5,1.1/4,40.3,8.0,42.3,20260407-11-03
6.0,6.0,5,5,コニパ,30062406196,岩手,牝4,54.0,村上忍,畠山信,396.0,-2.0,1:31.0,3,40.1,5.0,21.0,20260407-11-03
7.0,7.0,4,4,アズーラ,30004409996,岩手,牝4,54.0,山本政,齋藤雄,419.0,-3.0,1:31.3,1.3/4,41.3,6.0,30.2,20260407-11-03
8.0,8.0,8,9,バイオレットモーヴ,30012403346,岩手,牝9,54.0,山本聡,及川良,457.0,1.0,1:31.4,クビ,40.6,7.0,32.3,20260407-11-03
9.0,9.0,1,1,シラユリ,30027407886,岩手,牝5,54.0,佐々志,佐藤敏,460.0,3.0,1:31.4,クビ,40.5,9.0,77.9,20260407-11-03
10.0,10.0,2,2,グレコ,30018401796,岩手,牝4,52.0,△坂井瑛,千葉幸,408.0,-1.0,1:34.2,大差,44.3,10.0,364.5,20260407-11-03
1.0,1.0,3,3,トチノヒーロー,30025409356,岩手,セン8,56.0,塚本涼,酒井仁,437.0,6.0,1:29.1,,40.0,1.0,1.3,20260407-11-04
2.0,2.0,1,1,ベルベストランナー,30065406486,岩手,牡5,56.0,村上忍,千葉幸,463.0,2.0,1:29.8,4,39.4,2.0,6.1,20260407-11-04
3.0,3.0,7,8,ゴールドハーディス,30028400796,岩手,牝4,54.0,山本聡,石川栄,446.0,1.0,1:29.8,アタマ,39.8,7.0,26.4,20260407-11-04
4.0,4.0,5,5,ガビーズスピリット,30096406256,岩手,牡8,56.0,高松亮,佐藤雅,523.0,0.0,1:30.0,1.1/4,40.8,3.0,11.1,20260407-11-04
5.0,5.0,7,7,マルジェラ,30005408986,岩手,牡5,56.0,菅原辰,齋藤雄,505.0,3.0,1:30.3,1.1/2,40.4,4.0,13.2,20260407-11-04
6.0,6.0,6,6,ヒメカミノメガミ,30063402666,岩手,牝7,54.0,阿部英,工藤裕,503.0,-1.0,1:30.4,クビ,40.4,5.0,23.6,20260407-11-04
7.0,7.0,8,9,コウノノシラトリ,30098409396,岩手,牡4,56.0,山本政,齋藤雄,442.0,-4.0,1:30.9,3,40.4,6.0,24.1,20260407-11-04
8.0,8.0,4,4,チヨノフォーエヴァ,30002403696,岩手,牝4,54.0,鈴木祐,櫻田康,452.0,5.0,1:31.0,3/4,41.7,9.0,100.3,20260407-11-04
9.0,9.0,2,2,トキノワンカラット,30048404656,岩手,牝8,54.0,岩本怜,千葉幸,486.0,2.0,1:31.0,ハナ,40.7,10.0,219.7,20260407-11-04
10.0,10.0,8,10,アンジュルミエール,30086404076,岩手,牝6,52.0,△坂井瑛,新田守,466.0,-1.0,1:31.1,1/2,40.7,8.0,35.1,20260407-11-04
1.0,1.0,4,4,タカマキスリー,30084409386,岩手,牡5,56.0,阿部英,菅原右,486.0,1.0,0:50.1,,35.7,3.0,4.2,20260407-11-05
2.0,2.0,6,6,コスモタラゴン,30058403686,岩手,牡5,56.0,菅原辰,陶文峰,471.0,22.0,0:50.3,1,35.8,2.0,3.7,20260407-11-05
3.0,3.0,8,9,キッズファイナル,30097406276,岩手,牝6,54.0,高松亮,佐藤雅,426.0,8.0,0:50.8,3,36.2,1.0,2.9,20260407-11-05
4.0,4.0,7,7,エッシャー,30092405416,岩手,セン12,56.0,小林凌,飯田弘,503.0,-3.0,0:51.1,1.3/4,36.3,5.0,6.5,20260407-11-05
5.0,5.0,3,3,タニマサベーカ,30012400326,岩手,牡11,54.0,◇関本玲,関本浩,482.0,8.0,0:51.4,2,37.0,7.0,44.5,20260407-11-05
6.0,6.0,5,5,プリティキッス,30092402686,岩手,牝5,54.0,塚本涼,小林俊,483.0,0.0,0:51.5,クビ,36.3,8.0,49.0,20260407-11-05
7.0,7.0,8,8,ツルマルゲッコー,30035401296,岩手,牝4,54.0,山本政,櫻田康,485.0,2.0,0:51.7,1.1/4,36.9,6.0,25.5,20260407-11-05
8.0,8.0,2,2,フェスティヴメノコ,30095401766,岩手,牝7,54.0,高橋悠,伊藤忍,459.0,8.0,0:51.9,1.1/4,37.5,9.0,64.4,20260407-11-05
9.0,9.0,1,1,フラメンタ,30042403696,岩手,牝4,54.0,佐々志,菅原右,435.0,2.0,0:52.8,6,38.4,4.0,6.4,20260407-11-05
1.0,1.0,6,6,チベリウス,30058400566,岩手,牡7,56.0,村上忍,村上実,539.0,-4.0,0:50.1,,35.6,2.0,5.5,20260407-11-06
2.0,2.0,5,5,ブルドッグキング,30093401496,岩手,牡4,56.0,山本聡,木村暁,504.0,0.0,0:50.3,1.1/4,36.2,1.0,1.5,20260407-11-06
3.0,3.0,3,3,セイカフォルゴーレ,30093408766,岩手,牡7,56.0,小林凌,飯田弘,528.0,1.0,0:50.5,1,36.4,4.0,10.2,20260407-11-06
4.0,4.0,4,4,ヴァンダービルト,30015403566,岩手,牡7,56.0,阿部英,及川良,538.0,-1.0,0:50.7,1,35.6,5.0,14.7,20260407-11-06
5.0,5.0,8,8,クインズプリーズ,30052403466,岩手,牝7,54.0,菅原辰,千葉幸,457.0,-7.0,0:50.7,アタマ,36.5,3.0,5.6,20260407-11-06
