race_id,bet_type,combination,amount,popularity
20260416-20-01,win,5,960,4
20260416-20-01,place,5,200,4
20260416-20-01,place,9,150,2
20260416-20-01,place,6,110,1
20260416-20-01,bracket,4-6,430,2
20260416-20-01,quinella,5-9,2830,10
20260416-20-01,bracket_exacta,4-6,610,2
20260416-20-01,exacta,5-9,8480,26
20260416-20-01,wide,5-9,810,10
20260416-20-01,wide,5-6,360,3
20260416-20-01,wide,6-9,220,1
20260416-20-01,trio,5-6-9,1670,4
20260416-20-01,trifecta,5-9-6,21290,66
20260416-20-02,win,6,710,3
20260416-20-02,place,6,180,3
20260416-20-02,place,2,120,1
20260416-20-02,place,4,1760,9
20260416-20-02,bracket,2-6,610,2
20260416-20-02,quinella,2-6,560,2
20260416-20-02,bracket_exacta,6-2,1680,6
20260416-20-02,exacta,6-2,2000,7
20260416-20-02,wide,2-6,330,2
20260416-20-02,wide,4-6,4570,27
20260416-20-02,wide,2-4,3080,24
20260416-20-02,trio,2-4-6,12350,35
20260416-20-02,trifecta,6-2-4,80000,192
20260416-20-03,win,8,820,4
20260416-20-03,place,8,160,3
20260416-20-03,place,5,270,6
20260416-20-03,place,3,110,1
20260416-20-03,bracket,5-7,5990,14
20260416-20-03,quinella,5-8,5590,15
20260416-20-03,bracket_exacta,7-5,11690,31
20260416-20-03,exacta,8-5,12810,32
20260416-20-03,wide,5-8,1190,15
20260416-20-03,wide,3-8,250,3
20260416-20-03,wide,3-5,630,6
20260416-20-03,trio,3-5-8,2740,9
20260416-20-03,trifecta,8-5-3,34550,100
20260416-20-04,win,3,110,1
20260416-20-04,place,3,100,1
20260416-20-04,place,4,140,2
20260416-20-04,place,2,190,3
20260416-20-04,bracket,3-4,200,1
20260416-20-04,quinella,3-4,260,1
20260416-20-04,bracket_exacta,3-4,210,1
20260416-20-04,exacta,3-4,230,1
20260416-20-04,wide,3-4,110,1
20260416-20-04,wide,2-3,280,4
20260416-20-04,wide,2-4,570,7
20260416-20-04,trio,2-3-4,600,1
20260416-20-04,trifecta,3-4-2,1270,1
20260416-20-05,win,2,240,1
20260416-20-05,place,2,120,1
20260416-20-05,place,13,240,4
20260416-20-05,place,4,170,3
20260416-20-05,bracket,2-8,910,5
20260416-20-05,quinella,2-13,1500,4
20260416-20-05,bracket_exacta,2-8,1180,4
20260416-20-05,exacta,2-13,2400,7
20260416-20-05,wide,2-13,520,5
20260416-20-05,wide,2-4,220,1
20260416-20-05,wide,4-13,690,9
20260416-20-05,trio,2-4-13,1710,2
20260416-20-05,trifecta,2-13-4,9750,24
20260416-20-06,win,5,1490,6
20260416-20-06,place,5,460,7
20260416-20-06,place,9,220,2
20260416-20-06,place,14,1550,13
20260416-20-06,bracket,4-6,2830,12
20260416-20-06,quinella,5-9,4180,16
20260416-20-06,bracket_exacta,4-6,6790,30
20260416-20-06,exacta,5-9,8320,35
20260416-20-06,wide,5-9,1860,22
20260416-20-06,wide,5-14,7160,57
20260416-20-06,wide,9-14,4530,44
20260416-20-06,trio,5-9-14,44970,136
20260416-20-06,trifecta,5-9-14,216630,633
20260416-20-07,win,2,180,1
20260416-20-07,place,2,110,1
20260416-20-07,place,5,120,2
20260416-20-07,place,4,300,6
20260416-20-07,bracket,2-5,190,1
20260416-20-07,quinella,2-5,180,1
20260416-20-07,bracket_exacta,2-5,270,1
20260416-20-07,exacta,2-5,290,1
20260416-20-07,wide,2-5,120,1
20260416-20-07,wide,2-4,440,6
20260416-20-07,wide,4-5,570,8
20260416-20-07,trio,2-4-5,900,3
20260416-20-07,trifecta,2-5-4,2240,5
20260416-20-08,win,7,3570,8
20260416-20-08,place,7,550,7
20260416-20-08,place,9,160,2
