race_id,bet_type,votes,returned_votes
20260802-19-01,win,24797,0
20260802-19-01,bracket_exacta,2272,0
20260802-19-01,wide,25456,0
20260802-19-01,place,16483,0
20260802-19-01,quinella,17432,0
20260802-19-01,trio,53848,0
20260802-19-01,bracket,6951,0
20260802-19-01,exacta,18281,0
20260802-19-01,trifecta,103800,0
20260802-19-02,win,19106,0
20260802-19-02,bracket_exacta,2310,0
20260802-19-02,wide,15685,0
20260802-19-02,place,8953,0
20260802-19-02,quinella,13185,0
20260802-19-02,trio,29932,0
20260802-19-02,bracket,2739,0
20260802-19-02,exacta,11842,0
20260802-19-02,trifecta,60846,0
20260802-19-03,win,17450,0
20260802-19-03,bracket_exacta,0,0
20260802-19-03,wide,8382,0
20260802-19-03,place,9792,0
20260802-19-03,quinella,8268,0
20260802-19-03,trio,15718,0
20260802-19-03,bracket,0,0
20260802-19-03,exacta,11955,0
20260802-19-03,trifecta,77266,0
20260802-19-04,win,14034,0
20260802-19-04,bracket_exacta,0,0
20260802-19-04,wide,17246,0
20260802-19-04,place,6145,0
20260802-19-04,quinella,13880,0
20260802-19-04,trio,24817,0
20260802-19-04,bracket,0,0
20260802-19-04,exacta,18732,0
20260802-19-04,trifecta,98154,0
20260802-19-05,win,32534,0
20260802-19-05,bracket_exacta,2328,0
20260802-19-05,wide,30166,0
20260802-19-05,place,21307,0
20260802-19-05,quinella,20912,0
20260802-19-05,trio,48296,0
20260802-19-05,bracket,3415,0
20260802-19-05,exacta,19639,0
20260802-19-05,trifecta,106062,0
20260802-19-06,win,26475,0
20260802-19-06,bracket_exacta,3185,0
20260802-19-06,wide,27835,0
20260802-19-06,place,17131,0
20260802-19-06,quinella,22081,0
20260802-19-06,trio,46743,0
20260802-19-06,bracket,3722,0
20260802-19-06,exacta,20176,0
20260802-19-06,trifecta,96973,0
20260802-19-07,win,45219,0
20260802-19-07,bracket_exacta,2646,0
20260802-19-07,wide,44812,0
20260802-19-07,place,24414,0
20260802-19-07,quinella,34937,0
20260802-19-07,trio,69473,0
20260802-19-07,bracket,4665,0
20260802-19-07,exacta,30403,0
20260802-19-07,trifecta,164313,0
20260802-19-08,win,41742,0
20260802-19-08,bracket_exacta,3290,0
20260802-19-08,wide,36582,0
20260802-19-08,place,25389,0
20260802-19-08,quinella,34908,0
20260802-19-08,trio,76356,0
20260802-19-08,bracket,4659,0
20260802-19-08,exacta,27683,0
20260802-19-08,trifecta,143965,0
20260802-19-09,win,94083,0
20260802-19-09,bracket_exacta,3584,0
20260802-19-09,wide,117449,0
20260802-19-09,place,63224,0
20260802-19-09,quinella,88520,0
20260802-19-09,trio,206480,0
20260802-19-09,bracket,10819,0
20260802-19-09,exacta,64672,0
20260802-19-09,trifecta,356311,0
20260802-19-10,win,82562,0
20260802-19-10,bracket_exacta,6114,0
20260802-19-10,wide,102040,0
20260802-19-10,place,67725,0
20260802-19-10,quinella,79826,0
20260802-19-10,trio,150410,0
20260802-19-10,bracket,7889,0
20260802-19-10,exacta,60137,0
20260802-19-10,trifecta,279498,0
20260802-19-11,win,118401,0
20260802-19-11,bracket_exacta,7847,0
20260802-19-11,wide,133120,0
20260802-19-11,place,83932,0
20260802-19-11,quinella,115188,0
20260802-19-11,trio,224396,0
20260802-19-11,bracket,9861,0
20260802-19-11,exacta,76369,0
20260802-19-11,trifecta,396506,0
20260802-19-12,win,86531,0
20260802-19-12,bracket_exacta,7131,0
20260802-19-12,wide,125649,0
20260802-19-12,place,65878,0
20260802-19-12,quinella,71495,0
20260802-19-12,trio,181237,0
20260802-19-12,bracket,9108,0
20260802-19-12,exacta,86564,0
20260802-19-12,trifecta,550147,0
20260802-31-01,win,15812,0
20260802-31-01,bracket_exacta,0,0
20260802-31-01,wide,11966,0
20260802-31-01,place,27362,0
20260802-31-01,quinella,13232,0
20260802-31-01,trio,27332,0
20260802-31-01,bracket,2179,0
20260802-31-01,exacta,15342,0
20260802-31-01,trifecta,94706,0
20260802-31-02,win,22615,0
20260802-31-02,bracket_exacta,0,0
20260802-31-02,wide,18744,0
20260802-31-02,place,13567,0
20260802-31-02,quinella,17255,0
20260802-31-02,trio,38456,0
20260802-31-02,bracket,2573,0
20260802-31-02,exacta,13592,0
20260802-31-02,trifecta,71493,0
20260802-31-03,win,34898,0
20260802-31-03,bracket_exacta,0,0
20260802-31-03,wide,29230,0
20260802-31-03,place,16254,0
20260802-31-03,quinella,24909,0
20260802-31-03,trio,55311,0
20260802-31-03,bracket,2981,0
20260802-31-03,exacta,21927,0
20260802-31-03,trifecta,124002,0
20260802-31-04,win,36272,0
20260802-31-04,bracket_exacta,0,0
20260802-31-04,wide,27643,0
20260802-31-04,place,28566,0
20260802-31-04,quinella,26080,0
20260802-31-04,trio,47438,0
20260802-31-04,bracket,3384,0
20260802-31-04,exacta,28395,0
20260802-31-04,trifecta,169190,0
20260802-31-05,win,29384,0
20260802-31-05,bracket_exacta,0,0
20260802-31-05,wide,29083,0
20260802-31-05,place,105049,0
20260802-31-05,quinella,21898,0
20260802-31-05,trio,55058,0
20260802-31-05,bracket,3095,0
20260802-31-05,exacta,32895,0
20260802-31-05,trifecta,213365,0
20260802-31-06,win,43899,0
20260802-31-06,bracket_exacta,0,0
20260802-31-06,wide,38510,0
20260802-31-06,place,24394,0
20260802-31-06,quinella,40529,0
20260802-31-06,trio,84809,0
20260802-31-06,bracket,4835,0
20260802-31-06,exacta,31503,0
20260802-31-06,trifecta,156493,0
20260802-31-07,win,75893,0
20260802-31-07,bracket_exacta,0,0
20260802-31-07,wide,57780,0
20260802-31-07,place,45665,0
20260802-31-07,quinella,47397,0
20260802-31-07,trio,104313,0
20260802-31-07,bracket,5620,0
20260802-31-07,exacta,37267,0
20260802-31-07,trifecta,207121,0
20260802-31-08,win,124414,0
20260802-31-08,bracket_exacta,0,0
20260802-31-08,wide,168334,0
20260802-31-08,place,99152,0
20260802-31-08,quinella,118901,0
20260802-31-08,trio,327025,0
20260802-31-08,bracket,19547,0
20260802-31-08,exacta,153387,0
20260802-31-08,trifecta,1234395,0
20260802-31-09,win,47967,0
20260802-31-09,bracket_exacta,0,0
20260802-31-09,wide,41563,0
20260802-31-09,place,22995,0
20260802-31-09,quinella,36442,0
20260802-31-09,trio,92535,0
20260802-31-09,bracket,0,0
20260802-31-09,exacta,38285,0
20260802-31-09,trifecta,259387,0
20260802-31-10,win,59689,0
20260802-31-10,bracket_exacta,0,0
20260802-31-10,wide,55010,0
20260802-31-10,place,32351,0
20260802-31-10,quinella,37666,0
20260802-31-10,trio,103838,0
20260802-31-10,bracket,0,0
20260802-31-10,exacta,56477,0
20260802-31-10,trifecta,422479,0
20260802-31-11,win,179043,0
20260802-31-11,bracket_exacta,0,0
20260802-31-11,wide,341200,0
20260802-31-11,place,119869,0
20260802-31-11,quinella,274791,0
20260802-31-11,trio,1148887,0
20260802-31-11,bracket,31275,0
20260802-31-11,exacta,149591,0
20260802-31-11,trifecta,2013227,0
20260802-03-01,win,14453,0
20260802-03-01,bracket_exacta,0,0
20260802-03-01,wide,15274,0
20260802-03-01,place,10019,0
20260802-03-01,quinella,15290,0
20260802-03-01,trio,30785,0
20260802-03-01,bracket,3537,0
20260802-03-01,exacta,14825,0
20260802-03-01,trifecta,79308,0
20260802-03-02,win,10884,0
